plate_number,owner_name,address,vehicle_year,vehicle_make,vehicle_model,vehicle_color,reg_expiry,insurance,insurance_provider,policy_number,fines,fine_amount,is_flagged
SE·GA8451,Jaime Jones,"8457 Murphy Alley, Lake Teresastad, PR 08801",2014,Chevrolet,Equinox,Gold,2026-06-10,Yes,Sagarmatha Insurance,POL-65907088,2,506,False
BH·KA536,Jennifer Donaldson,"5458 Ashlee Oval Suite 001, Smithburgh, NV 60337",2025,Mahindra,Thar,Red,2029-08-03,Yes,Nepal Insurance Co.,POL-88319168,1,184,False
DH·GA6329,Tyler Harris,"424 Diamond Glen, West Elizabethburgh, AR 52450",2006,Hyundai,Venue,Gray,2030-04-10,No,,,0,0,False
NA·HA3440,Molly Fischer,"103 Miller Ramp, New Erin, AL 01557",2020,Nissan,Navara,Gold,2026-09-11,Yes,Lumbini General Insurance,POL-37828932,2,438,False
PG·JA2937,Ruth Mcneil,"1361 Dakota Land, Derrickberg, SD 89254",2022,Ford,F-150,Blue,2030-03-01,Yes,Shikhar Insurance,POL-91883092,1,295,False
SE·JA3784,Joseph Smith,"3269 Heath Corners Apt. 219, Bellchester, MD 18828",2020,Kia,Carnival,Gray,2028-04-20,Yes,Shikhar Insurance,POL-48626436,0,0,False
PG·HA5754,Matthew Wright,"043 Julie Hill Apt. 376, East Victorland, NC 02082",2014,Hyundai,i20,White,2026-10-15,Yes,United Insurance,POL-98043078,0,0,False
LU·GA8924,Dr. Bonnie Valencia,"271 Brenda Bridge Suite 300, Hunterhaven, WI 54952",2009,Kia,Rio,Red,2024-12-31,Yes,Lumbini General Insurance,POL-40289135,2,126,False
KO·KA7839,James Davidson,"1418 Terri Drives, Peterland, ME 92077",2005,Honda,HR-V,Black,2027-03-26,Yes,United Insurance,POL-74082055,2,486,False
KO·JA1069,Troy Allen,"79904 David Station Apt. 027, Alexandraview, GA 49242",2012,Honda,HR-V,Gold,2026-07-22,Yes,Everest Insurance,POL-66087572,4,380,False
BA·GA6604,Richard Adams,"6481 Joseph Ports, South Spencerstad, AR 65985",2006,Ford,Ranger,Red,2025-09-28,Yes,Prabhu Insurance,POL-48193218,1,214,False
ME·CHA8361,Carol Moore,"80003 Thomas Lights, East Sarah, PR 05136",2008,Ford,Endeavour,Gray,2028-12-01,Yes,Everest Insurance,POL-11890348,3,756,False
SA·GA3264,Suzanne Yang,"65419 Wilson Spring Apt. 238, South Caseymouth, VI 37503",2017,Hyundai,Santa Fe,Maroon,2029-03-27,Yes,Prime Life Insurance,POL-99826000,0,0,False
ME·JA4164,Emily Miller,"49493 Richardson Park Apt. 832, South Andrewside, MI 83855",2012,Toyota,Yaris,Green,2027-11-04,Yes,Shikhar Insurance,POL-88176558,3,156,False
KO·KA3971,Sherry Tapia,"413 Robert Circle Apt. 410, Port April, UT 49324",2014,Toyota,Corolla,Beige,2023-07-11,Yes,Shikhar Insurance,POL-25759274,2,580,False
DH·CHA3690,Paul Carpenter,"99062 Kelly Vista Suite 655, Nelsonland, ID 18341",2019,Hyundai,Elantra,Black,2029-09-28,Yes,Lumbini General Insurance,POL-73193474,3,765,False
LU·GA4154,Lauren Moore,"6185 Shannon Mountain Suite 112, Margaretton, IL 43465",2019,Mahindra,Scorpio,Brown,2028-05-16,No,,,2,130,False
SE·CHA9483,Michael Schmitt,"442 Stephanie Walk, Hawkinsside, IA 12916",2015,Chevrolet,Cruze,Black,2028-10-27,No,,,0,0,False
JA·MN7398,Robert Taylor,"36519 Lowery Club, North Jamesmouth, AS 17381",2021,Toyota,Fortuner,Black,2029-07-04,No,,,1,256,False
BA·HA4269,Ryan Lamb,"29667 Patrick Meadow Apt. 532, Joshuaberg, AZ 80993",2007,Toyota,Hilux,Gold,2024-05-30,Yes,Lumbini General Insurance,POL-18087373,5,335,False
ME·PA4803,Danielle Phillips,"14626 Dawn Union Apt. 806, Timothyfort, MI 74642",2025,Nissan,Sentra,Black,2029-12-19,Yes,Prabhu Insurance,POL-61335545,1,284,False
PG·PA8935,Jasmine White,"40785 Terri Courts, Lake John, ND 97108",2008,Hyundai,Venue,Blue,2024-02-21,Yes,Himalayan General Insurance,POL-10466177,3,900,False
SA·KA9020,Zachary Robinson,"2239 Drake Square Suite 905, New Stacy, MP 65018",2012,Nissan,Navara,Green,2024-05-27,No,,,0,0,False
RA·PA627,Casey Johnson,"87059 Lindsay Junctions, Port Megan, MD 08307",2012,Nissan,Navara,White,2025-10-11,Yes,United Insurance,POL-90233330,3,819,True
BH·PA6690,Kevin Stark,"56915 Morris Estate Suite 752, Jeffreyshire, GU 23484",2011,Ford,Ranger,Brown,2026-08-30,No,,,5,545,False
BH·MN5324,Nicholas Phillips,"969 Ian Island, Lake Ariana, NM 18935",2015,Mahindra,XUV300,Maroon,2025-07-16,Yes,Lumbini General Insurance,POL-39667854,0,0,False
SE·MN2969,Blake Reed,"570 Clark Square, West Jonathanville, VA 00668",2006,Nissan,Navara,Beige,2029-12-14,Yes,Lumbini General Insurance,POL-52779814,3,462,False
PG·CHA8913,Jeffrey Barnes,"6586 Maria Turnpike Apt. 271, West Andrewview, CT 10226",2014,Ford,Ranger,Gray,2027-02-26,Yes,Nepal Insurance Co.,POL-85482164,0,0,False
SE·CHA6463,Stephen Martin,"9970 Dunlap Expressway, Mooreville, MA 27442",2015,Suzuki,Baleno,Gray,2028-11-13,Yes,Sagarmatha Insurance,POL-81891784,3,294,True
PG·KA9978,Jennifer Spencer,"PSC 8444, Box 3106, APO AP 72546",2023,Toyota,Corolla,Gray,2029-06-24,Yes,Himalayan General Insurance,POL-54689713,0,0,False
LU·CHA2022,Brittany Ward,"973 Anthony Extension Suite 171, Kristenfort, NM 87144",2011,Ford,Ranger,Gold,2027-09-09,Yes,Shikhar Insurance,POL-61091554,1,216,False
GA·JA8501,Martin Hughes,"2704 Marshall Fork Suite 902, North Elizabethside, MT 99651",2020,Ford,Figo,Silver,2028-02-21,Yes,Prabhu Insurance,POL-51999682,0,0,False
LU·KA2490,Kristen Randall,"793 Evans Locks Apt. 898, North Stacy, NV 23160",2023,Toyota,Yaris,Brown,2028-09-08,Yes,Himalayan General Insurance,POL-54273769,0,0,False
LU·HA9121,Carol Lewis,"1632 Flores Stream, North Paulfurt, OH 43247",2025,Tata,Punch,Beige,2028-12-05,No,,,4,372,False
SE·HA3115,Kelly Stark,"62299 Sara Port Apt. 485, Bakerfort, OK 80318",2006,Chevrolet,Malibu,Brown,2026-10-06,Yes,Nepal Insurance Co.,POL-10856822,0,0,False
LU·PA2574,Christopher Powell,"65307 Prince Brooks Suite 444, Garrisonville, VI 30379",2019,Toyota,Hilux,Brown,2029-10-23,Yes,Siddhartha Insurance,POL-74854563,2,108,True
SE·HA294,William Ramos,"691 Scott View Suite 785, New Laceyland, ME 93505",2014,Toyota,Yaris,Brown,2023-12-06,Yes,Everest Insurance,POL-24363501,5,920,False
LU·MN8725,Brandy York,"33030 Williams Lake, West Micheal, NH 66708",2017,Kia,Carnival,Red,2024-01-25,Yes,Himalayan General Insurance,POL-40314047,0,0,False
JA·KA619,Thomas Maldonado,"727 Cooper Villages Suite 140, Williamsshire, WI 28592",2017,Honda,City,Green,2026-08-29,Yes,Everest Insurance,POL-21097943,1,161,False
KO·MN1662,Maria Byrd,"007 Deborah Rapid Apt. 349, Jenniferview, NE 49846",2011,Chevrolet,Malibu,Gray,2030-03-24,Yes,United Insurance,POL-46385762,0,0,True
GA·MN9332,Judy Robinson,"108 Hoffman Ranch Suite 417, West Vanessamouth, VI 36792",2005,Toyota,RAV4,Blue,2029-08-21,No,,,4,1040,False
JA·JA2761,Michael Stafford,"309 Guerrero Springs, Lake Anthony, NM 39246",2017,Mahindra,XUV700,Gold,2029-05-18,Yes,Everest Insurance,POL-20526386,1,299,False
JA·HA3903,Jason Price,"3875 Bruce Ville, West Connor, DC 97614",2024,Honda,CR-V,Gold,2028-07-27,Yes,Prabhu Insurance,POL-13976288,2,500,False
ME·CHA5929,Robert Hines,"135 Julie Inlet Suite 554, Stevenville, NJ 07536",2010,Chevrolet,Equinox,Green,2030-01-19,Yes,Siddhartha Insurance,POL-49645162,4,928,True
GA·CHA6325,Lauren Blackburn,"168 Gutierrez Ways, East Victoria, MA 54134",2015,Hyundai,Venue,Green,2026-11-10,No,,,0,0,False
GA·PA2270,Dr. Victoria Thomas,"75250 Shannon Fords, New Kathy, NM 12040",2019,Honda,Accord,Green,2029-03-21,Yes,Nepal Insurance Co.,POL-22028437,0,0,False
DH·GA5415,Jeffrey Jordan,"0083 Dodson Islands Apt. 003, Lake Natalie, ME 17400",2018,Nissan,Altima,Red,2026-10-27,Yes,Lumbini General Insurance,POL-42580349,2,186,False
NA·CHA4505,Jonathan Torres,"4789 Hamilton Spur, West Wendy, NM 47588",2009,Kia,Carnival,Beige,2023-11-27,Yes,Shikhar Insurance,POL-74992426,4,568,False
LU·KA8223,Carmen Meadows,"32309 David Station, South Nancyview, WI 70589",2019,Mahindra,XUV300,Gray,2024-08-20,No,,,0,0,False
PG·GA5499,Linda Williams,"16761 Wells Drives, Lake Gina, AL 39968",2025,Ford,Endeavour,Green,2027-02-09,Yes,Siddhartha Insurance,POL-36957830,1,95,False
KO·JA8144,Brian Meyer,"1891 Wilson Coves, Gonzalezborough, WI 34972",2017,Mahindra,XUV700,Blue,2028-07-19,Yes,Siddhartha Insurance,POL-36816708,2,378,False
RA·MN540,Valerie Howard,"87375 Aaron Skyway, North Maryfort, FL 12308",2014,Ford,Ranger,Beige,2026-09-25,Yes,Prime Life Insurance,POL-77015343,0,0,False
GA·KA2625,Angela Cummings,"PSC 3744, Box 7012, APO AE 38586",2019,Nissan,Patrol,Silver,2029-01-12,Yes,Lumbini General Insurance,POL-77996397,5,1360,False
SE·PA5990,Michael Simmons,"22557 Johns Course, Lisaburgh, DE 53031",2007,Chevrolet,Spark,Maroon,2024-12-13,Yes,Prabhu Insurance,POL-32325574,2,122,False
SA·KA6647,Jesus Houston,"2120 Dale Ramp Suite 972, Maxwelltown, VI 90215",2005,Tata,Safari,Silver,2025-02-05,Yes,Lumbini General Insurance,POL-84892608,2,394,False
KO·HA7686,Monica Snow,"67014 Smith Ways Apt. 588, South Dorothybury, NJ 45819",2016,Mahindra,XUV300,Black,2029-01-19,No,,,0,0,False
JA·GA2421,Margaret Hernandez,"28772 Karen Islands, West Tara, AR 66945",2019,Tata,Punch,Blue,2029-04-08,Yes,United Insurance,POL-23102741,0,0,False
KO·PA5019,Mason Powell,"9717 Stewart Parks Apt. 166, New Andrealand, WY 79695",2015,Toyota,Corolla,White,2030-02-21,Yes,Himalayan General Insurance,POL-79255529,0,0,False
SE·HA7670,Marcia Wu,"5037 Castro River Suite 571, Port Donnatown, MA 47049",2010,Suzuki,Vitara,Maroon,2023-12-02,Yes,Siddhartha Insurance,POL-36484437,1,159,False
BH·CHA3471,Tracey Carter,"27261 Carr Field, Port Philipmouth, GU 25480",2008,Kia,Seltos,Gold,2029-05-10,No,,,0,0,False
GA·KA8119,Ashley Perry,"PSC 9177, Box 9827, APO AE 70016",2017,Chevrolet,Trax,Gold,2029-08-21,No,,,0,0,False
NA·GA4973,Kristen Reynolds,"922 Paul Rapid, Williamfurt, MT 80323",2009,Mahindra,XUV300,Silver,2027-09-07,Yes,Everest Insurance,POL-60104292,3,540,False
DH·CHA9517,Pamela Hill,"USNV Chavez, FPO AE 18612",2020,Nissan,Patrol,Black,2030-03-27,Yes,Everest Insurance,POL-84479105,0,0,False
NA·JA7489,Michael Goodman,"833 Claudia Highway Suite 228, Jenniferstad, OH 63464",2005,Mahindra,Scorpio,Blue,2027-06-10,Yes,Lumbini General Insurance,POL-77838742,2,308,False
PG·KA7372,Terri Mckinney,"0810 Thomas Skyway Apt. 342, Francesberg, MP 08631",2023,Ford,Ranger,Silver,2025-02-08,Yes,Shikhar Insurance,POL-40177972,1,93,False
DH·KA8215,Elizabeth Molina,"98386 William Underpass Suite 066, Fryemouth, OH 07552",2023,Chevrolet,Spark,Silver,2024-04-14,Yes,Nepal Insurance Co.,POL-69239219,1,158,False
SA·GA4155,David Oliver,"59893 Kelly Fall Apt. 228, South Billyview, OH 35135",2013,Kia,Seltos,Beige,2026-11-01,Yes,Sagarmatha Insurance,POL-41802361,0,0,False
BH·JA7115,Kevin Scott,"25909 Henry Ports, Charlesmouth, NC 29331",2011,Hyundai,Santa Fe,Black,2026-09-05,Yes,Lumbini General Insurance,POL-47726592,2,186,False
BH·JA4840,Kelly Hartman,"53355 Carter Terrace Suite 801, Seanbury, AZ 89964",2008,Mahindra,Bolero,Brown,2024-01-14,Yes,Shikhar Insurance,POL-98032908,0,0,False
LU·CHA5377,Jane Hogan,"408 Robertson Pass Suite 704, West Willie, CT 22441",2020,Suzuki,Ertiga,Green,2024-11-01,Yes,Prime Life Insurance,POL-70665302,0,0,False
RA·PA6700,Patricia Ferguson,"361 Amanda Squares, Lucasland, WA 90422",2019,Chevrolet,Trax,Blue,2028-03-07,Yes,Sagarmatha Insurance,POL-71532017,2,456,False
JA·GA8856,Joe Rivera,"48193 Russell Mission, Hamiltontown, MS 88751",2011,Nissan,Sentra,Green,2028-02-27,Yes,Prabhu Insurance,POL-83458776,2,388,False
RA·JA893,Aaron Cortez,"158 Keith Spur, Catherineport, WV 57868",2019,Toyota,Corolla,Maroon,2025-06-16,Yes,Nepal Insurance Co.,POL-67418250,0,0,False
NA·KA5045,Rodney Johnson,"68424 Bernard Branch, North Bobby, OK 78705",2025,Hyundai,i20,Silver,2026-10-22,Yes,Everest Insurance,POL-16950770,0,0,False
BH·GA3936,Joshua Miller,"68222 Christina Glen Apt. 129, Port Karenside, NH 84999",2005,Nissan,Altima,Silver,2025-11-27,No,,,0,0,False
BA·PA5729,Donna Jones,"5231 Harvey Fields Suite 775, Heatherberg, OK 74800",2020,Honda,City,Black,2024-03-12,No,,,4,304,False
GA·CHA6370,Eugene Patterson,"64525 Ford Knolls, Tonyville, HI 85114",2009,Hyundai,Venue,Maroon,2026-04-18,Yes,Everest Insurance,POL-69069144,0,0,False
BH·CHA6845,Sarah Trevino,"1108 Lisa Prairie, Hammondborough, PW 05305",2007,Mahindra,Thar,Gray,2027-02-17,Yes,Siddhartha Insurance,POL-61543890,0,0,False
RA·CHA4159,Kimberly Lutz,"6394 Steven Pass, South Michaeltown, TN 31811",2022,Kia,Seltos,Gray,2029-10-02,Yes,Nepal Insurance Co.,POL-98369672,4,408,False
SE·CHA6518,Renee Mendez,"2299 Jill Orchard, Billyfort, IN 08740",2020,Kia,Seltos,Gray,2027-09-12,Yes,Siddhartha Insurance,POL-19531069,1,300,True
KO·JA2262,David Barnett,"7700 Garcia Pike Suite 498, South Desiree, MN 77529",2016,Nissan,Navara,Green,2027-04-25,Yes,Sagarmatha Insurance,POL-12240013,2,106,False
BA·PA6620,Sara Black,"655 Sparks Rapids, New Nicolemouth, GA 30646",2021,Chevrolet,Trax,Maroon,2028-09-20,Yes,Sagarmatha Insurance,POL-95971459,1,207,False
JA·JA1394,Mason Lewis,"136 Cortez Orchard Suite 739, Lake Martha, AK 32439",2022,Chevrolet,Cruze,Black,2029-08-20,Yes,Sagarmatha Insurance,POL-51630244,3,708,False
LU·PA4105,Kenneth Martin,"202 Nielsen Path, Greeneshire, SC 02941",2019,Honda,City,Silver,2026-08-27,Yes,Everest Insurance,POL-26031369,0,0,False
BA·CHA8233,Monica Nicholson,"USNS Cole, FPO AA 63634",2013,Tata,Altroz,Brown,2025-08-19,Yes,Shikhar Insurance,POL-25845304,3,171,False
PG·JA8682,Ronald Burke,"842 Nielsen Ranch, East Nicholasberg, CT 02671",2025,Honda,CR-V,Gold,2023-10-16,Yes,Nepal Insurance Co.,POL-77056519,4,368,False
GA·GA1785,Scott Gordon,"127 Natalie Place, North Timothyberg, MH 79599",2021,Mahindra,Scorpio,Gray,2026-04-10,Yes,United Insurance,POL-58852098,0,0,False
BA·MN6970,April Pace,"650 Perez Unions Suite 659, South Dennisfort, WI 30976",2018,Suzuki,Baleno,Gray,2028-02-21,Yes,Sagarmatha Insurance,POL-86710258,0,0,False
BA·CHA3756,Angela George,"00981 Nicholas Ford Suite 651, South Denise, KS 34750",2007,Chevrolet,Malibu,Green,2027-12-06,Yes,Shikhar Insurance,POL-53929586,0,0,False
KO·CHA4877,Jessica Diaz,"68872 Hansen Orchard Suite 495, Fitzgeraldville, WA 30617",2012,Mahindra,Bolero,Gold,2029-08-30,Yes,Himalayan General Insurance,POL-83357939,3,336,False
PG·PA3917,Michael Martin,"8902 Oconnell Avenue Apt. 279, Davisview, IN 49107",2005,Chevrolet,Trax,Maroon,2026-05-09,Yes,Prime Life Insurance,POL-51273379,0,0,False
LU·HA8161,Andrew Cruz,"Unit 9849 Box 0277, DPO AE 26939",2007,Toyota,RAV4,Red,2025-01-16,Yes,Lumbini General Insurance,POL-65439545,3,435,False
BH·PA9615,Tara Holmes,"205 Diana Estate, West Kimberlystad, TN 52293",2025,Honda,Jazz,Black,2026-10-07,Yes,Nepal Insurance Co.,POL-68382413,2,166,False
GA·GA5261,Curtis Smith,"489 Bailey Via, Jeremyborough, NH 53448",2019,Nissan,Kicks,Blue,2026-10-06,Yes,Everest Insurance,POL-88478184,0,0,False
ME·HA5245,Debbie Russell,"451 Walter Via, Heatherfurt, OK 63891",2016,Nissan,Altima,Brown,2027-07-06,Yes,United Insurance,POL-45568761,4,292,False
SA·JA9984,Nina Ali,"071 Jones Roads Apt. 356, Zacharytown, UT 35018",2009,Toyota,Hilux,Blue,2024-12-13,Yes,Prime Life Insurance,POL-78915391,0,0,False
NA·PA6725,Brandon Nunez,"275 Robinson Ports, Ianborough, NM 97115",2012,Ford,F-150,Brown,2025-10-09,Yes,Everest Insurance,POL-26301180,0,0,False
LU·CHA3346,Nicolas Salas,"95211 Emma Shore, Austinside, AZ 63715",2025,Nissan,Kicks,Maroon,2026-10-26,Yes,Shikhar Insurance,POL-20064609,0,0,True
SA·HA2210,Ethan Villanueva,"2846 Karen Crossroad Apt. 867, New Michaelburgh, NH 16277",2006,Honda,CR-V,Silver,2026-08-18,No,,,2,520,False
ME·PA6370,Julia Norris,"9155 Lopez Greens, West Thomas, RI 45471",2011,Nissan,Sentra,Blue,2027-11-21,Yes,Everest Insurance,POL-14650569,2,414,False
GA·HA6850,Jonathan Clark,"6472 Tiffany Spur Apt. 143, Chaseborough, FL 97303",2007,Chevrolet,Equinox,White,2027-02-12,Yes,Lumbini General Insurance,POL-43440045,2,510,False
BA·HA5983,Robert Thompson,"4489 Raymond Spurs Apt. 034, Combsville, NV 98096",2016,Ford,F-150,Beige,2029-02-28,Yes,Shikhar Insurance,POL-34134478,0,0,False
BA·GA4702,Isaac Castro,"USNV Cooper, FPO AA 16391",2016,Toyota,Fortuner,Brown,2027-08-26,Yes,Sagarmatha Insurance,POL-43266810,2,236,False
RA·KA1016,Michael Jacobs,"5587 Preston Light, Stevenberg, VI 22465",2016,Suzuki,Alto,Green,2027-04-27,No,,,2,512,False
KO·MN562,Tanya Fisher,"12535 Delgado Station Suite 964, Normanstad, WA 77429",2009,Tata,Altroz,Gold,2027-05-27,Yes,United Insurance,POL-82762732,0,0,False
JA·PA3911,Joanna Jackson,"341 Garrett Cove, North Sharonfort, OH 07556",2021,Mahindra,XUV700,White,2028-03-16,Yes,Himalayan General Insurance,POL-27514010,0,0,False
RA·GA5401,James Hubbard,"216 Perez Street Suite 722, North Austin, MI 43125",2023,Toyota,Camry,Black,2027-02-21,Yes,Lumbini General Insurance,POL-58974686,5,725,False
SA·HA9701,Julie Pitts,"USCGC Taylor, FPO AP 71186",2015,Honda,CR-V,Red,2025-06-17,Yes,Prime Life Insurance,POL-95800828,5,1080,False
BH·MN5946,Kyle Welch,"845 Fernandez Valley Apt. 745, Greenport, AL 00513",2010,Suzuki,Ertiga,Gold,2030-03-17,Yes,Everest Insurance,POL-10241310,5,1460,False
RA·MN630,Olivia Taylor,"774 Katie Union, Carlatown, OH 49475",2024,Hyundai,Santa Fe,Blue,2025-10-04,Yes,Everest Insurance,POL-54448673,3,330,False
KO·CHA1553,Stephen Kim,"3416 Zachary Union Suite 484, Lopezland, HI 18408",2013,Tata,Safari,White,2025-12-18,Yes,Sagarmatha Insurance,POL-10171954,0,0,False
PG·CHA6883,Mark Williamson,"50208 Jacob Cove Suite 427, East Christophertown, NM 28968",2022,Ford,Figo,Blue,2029-01-12,Yes,Siddhartha Insurance,POL-97371655,3,321,False
JA·GA647,Eric Lloyd,"Unit 7051 Box 2046, DPO AE 71698",2013,Kia,Seltos,Blue,2026-10-05,Yes,Prime Life Insurance,POL-31596235,3,570,False
JA·JA9832,Corey Skinner,"36730 Steven Trail, New Elizabethborough, NJ 51504",2018,Mahindra,Thar,White,2027-04-09,Yes,Prime Life Insurance,POL-31086112,0,0,False
LU·HA9178,Emily Morris,"881 Olson Hills, West Paige, VI 87886",2014,Chevrolet,Trax,Maroon,2026-11-19,No,,,2,530,False
BA·JA162,Brian Chen,"9163 Tanya Prairie, Barkerberg, MN 12229",2025,Nissan,Altima,Red,2027-06-19,No,,,0,0,False
JA·HA1992,Jonathan Parks,"52812 Hall Point, Lindamouth, VA 25793",2020,Kia,Sonet,Beige,2027-10-31,No,,,1,97,False
PG·JA3156,James Ramsey,"7848 Lopez Ferry, Mariomouth, KY 78971",2019,Ford,Ecosport,Red,2027-08-13,Yes,Siddhartha Insurance,POL-18273096,0,0,False
JA·PA5732,Kristen Jones,"8570 Gross Brook Suite 935, Lake Tammyfurt, ID 69191",2012,Chevrolet,Equinox,Gold,2028-07-07,Yes,Prime Life Insurance,POL-81875527,3,867,False
LU·HA4996,Pamela Moore,"511 Bradley Curve Apt. 031, Leeton, OK 84616",2021,Honda,City,White,2029-03-30,Yes,Siddhartha Insurance,POL-29790089,0,0,False
NA·CHA3571,Mary Fox,"53910 Diana Village Apt. 705, Shortton, GU 81363",2018,Suzuki,Dzire,White,2023-11-26,Yes,Everest Insurance,POL-89865944,0,0,False
RA·PA1525,Andrew Jones,"113 Lopez Pine, New Colleen, HI 73694",2022,Nissan,Navara,Green,2027-11-23,Yes,Nepal Insurance Co.,POL-93625419,2,500,False
PG·CHA2528,Jennifer Garcia,"761 Laura Plaza Suite 852, Mahoneymouth, OH 43054",2008,Mahindra,XUV300,Gold,2029-07-02,Yes,Shikhar Insurance,POL-81891508,4,1096,False
PG·KA8055,Jennifer Schultz,"398 Nicholas Plaza Suite 577, Smithton, LA 78588",2006,Mahindra,XUV300,Beige,2024-01-31,No,,,2,454,False
PG·JA3992,Chad Zamora,"50488 Clinton Mount, Ericview, MN 76805",2016,Toyota,Fortuner,Red,2024-08-23,Yes,United Insurance,POL-23182514,5,540,False
BH·HA5357,David Evans,"157 Tracy Spurs, New Dawnton, VA 76035",2025,Kia,Sonet,Gold,2023-11-13,Yes,Prime Life Insurance,POL-75023164,3,816,False
BA·MN2704,Richard Weeks,"1390 Brown Pine Apt. 589, West Wayne, IN 20580",2017,Honda,CR-V,Brown,2023-05-28,Yes,Nepal Insurance Co.,POL-33318633,0,0,False
BA·CHA641,Nicholas Long,"64622 Miller Ports, New Raymondland, MO 66275",2011,Ford,Ecosport,Blue,2028-12-12,Yes,Sagarmatha Insurance,POL-14102122,0,0,False
ME·CHA7875,Michael Gill,"6938 John Grove, Morrisshire, CO 15250",2016,Mahindra,XUV300,Blue,2024-11-22,Yes,Sagarmatha Insurance,POL-48261364,0,0,True
DH·GA3611,Jessica Bailey,"2597 Scott Viaduct, East Gina, FL 99818",2011,Suzuki,Ertiga,Gray,2028-08-22,Yes,Nepal Insurance Co.,POL-73632249,5,1075,False
RA·PA3766,Angelica Singh,"0514 Ruiz Isle, Lake Amanda, IL 72121",2025,Kia,Rio,Red,2028-06-16,Yes,United Insurance,POL-43822694,0,0,False
SE·GA6606,Deanna Webb,"069 Jonathan Circle, Jamesview, AR 61444",2021,Mahindra,Scorpio,White,2028-06-11,Yes,Siddhartha Insurance,POL-91745321,0,0,False
ME·PA5609,Alejandra Price,"04636 Rebecca Oval Apt. 238, Castrotown, AZ 32927",2013,Kia,Carnival,Red,2029-12-31,Yes,Everest Insurance,POL-79429969,3,840,True
RA·GA9930,Elizabeth Burns,"5543 Cain Road, Natashatown, OH 37226",2009,Nissan,Kicks,Maroon,2030-01-08,Yes,Shikhar Insurance,POL-44819604,5,765,False
BA·MN9472,Glenn Long,"936 Ashley Meadow Suite 957, East Denise, OR 71457",2022,Suzuki,Baleno,Gray,2029-01-05,Yes,Prabhu Insurance,POL-78090647,0,0,False
SA·MN3067,Christina Taylor,"2925 Angela Stravenue, East Lonnieberg, VA 04365",2009,Kia,Seltos,Beige,2029-06-24,Yes,Everest Insurance,POL-55047826,2,212,False
BH·GA5131,Sheryl Gutierrez,"423 David Burg Suite 999, New Jesse, TX 03919",2013,Nissan,Kicks,Blue,2028-12-11,Yes,United Insurance,POL-17204398,4,796,False
DH·PA7836,Michael Woods,"526 Wells Estates Apt. 306, West Stephaniebury, WA 88494",2017,Suzuki,Alto,Silver,2028-08-30,No,,,4,340,False
KO·HA9429,Norma Jones DVM,"Unit 9757 Box 3660, DPO AP 96882",2010,Ford,Ranger,Blue,2029-01-29,Yes,Everest Insurance,POL-52065724,2,102,False
LU·GA2862,Michelle Long,"USS Meyer, FPO AA 60387",2007,Mahindra,XUV700,Beige,2023-11-29,Yes,Prime Life Insurance,POL-67582820,5,740,True
SE·CHA6212,Amanda Forbes,"086 James Mill Suite 447, South Kelly, PW 07650",2011,Toyota,Land Cruiser,Brown,2026-04-27,Yes,Himalayan General Insurance,POL-40368869,3,414,False
JA·HA8346,Stephanie Ford,"812 Phillip Islands, Johnsonmouth, OR 93907",2007,Mahindra,Bolero,Black,2028-01-07,Yes,United Insurance,POL-79831928,2,272,False
SA·CHA5715,Sonya Davis,"111 Walters Corner, Acostahaven, RI 21459",2010,Ford,Endeavour,Gray,2028-08-10,No,,,0,0,False
LU·KA459,James Tate,"PSC 9222, Box 2064, APO AA 96204",2008,Mahindra,XUV300,Black,2029-12-29,Yes,Prime Life Insurance,POL-95942441,0,0,False
BA·MN885,Jill Sims,"09407 Foley Plains, New Nicolebury, IL 77684",2006,Honda,HR-V,White,2028-09-06,Yes,Sagarmatha Insurance,POL-83454998,0,0,False
LU·KA252,Jordan Ramos,"84983 Jack Centers, Benjaminton, TN 76272",2008,Kia,Sonet,Maroon,2027-11-10,Yes,Everest Insurance,POL-66213840,4,304,False
DH·PA4731,Elizabeth Knapp,"24999 Tammy Summit Suite 014, Miguelfurt, GU 09370",2011,Honda,Civic,Beige,2027-10-27,Yes,Himalayan General Insurance,POL-58039455,3,375,False
SE·HA3502,Sarah Brown,"458 Warren Square, New Brian, OK 96147",2005,Ford,Endeavour,Gray,2025-11-04,Yes,Siddhartha Insurance,POL-99794603,1,293,False
SE·PA1759,Kendra Miller,"9548 Ho Ridges Suite 877, New Jesse, LA 25870",2014,Kia,Sportage,Beige,2026-08-17,No,,,0,0,True
GA·JA5223,Alexander Garrett,"660 Bailey Valley, North Danielle, UT 37414",2006,Nissan,Altima,Silver,2025-07-26,Yes,Everest Insurance,POL-54112109,0,0,False
DH·JA1622,Barry Evans,"55699 Marilyn Fields, Marthafort, PW 62694",2008,Tata,Punch,Black,2028-11-26,Yes,Prime Life Insurance,POL-74188958,4,864,False
NA·PA2271,Maria Olson,"6084 Peters Brook Apt. 955, East Juantown, MA 49684",2018,Toyota,RAV4,Silver,2029-01-19,Yes,United Insurance,POL-34328380,2,498,False
BA·GA2240,Sarah Duncan,"5046 Tyler Freeway, Shannonport, IL 69326",2018,Ford,Figo,Silver,2026-09-13,Yes,Prabhu Insurance,POL-11658959,3,669,False
